Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproa,Status,SnapX,SnapY,SnapZ,DistanceTo,Attr_Lengt,Breaks_Len,V20L1t0,TARGET_FID,FacilityID,V20L1t1,V20L1t2,V20L1t3,V18L1t0,V18L1t1,V18L1t2,V18L1t3,V22L1t0,V22L1t1,V22L1t2,V22L1t3,V12L1t0,V12L1t1,V12L1t2,V12L1t3,V16L1t0,V16L1t1,V16L1t2,V16L1t3
Location 81,1,4590,0.30820250465,2,0,0,5431952.54918000000,6505011.88173000000,0.00000000000,18.64545068620,0.00000000000,,0,96,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 82,1,11587,0.30962342068,2,0,0,5432075.22662000000,6504985.52097000000,0.00000000000,16.15392261120,0.00000000000,,0,97,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 83,1,6970,0.85229553132,1,0,0,5432057.33682000000,6504909.89713000000,0.00000000000,29.28090848460,0.00000000000,,0,98,83,0,0,0,111,22,48,41,167,26,81,60,155,22,84,49,44,5,32,7
Location 84,1,9163,0.88057152871,2,0,0,5432009.90089000000,6504808.41397000000,0.00000000000,12.73723532310,0.00000000000,,0,99,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 85,1,6298,0.75010077784,2,0,0,5432220.80783000000,6503978.40610000000,0.00000000000,14.83631810870,0.00000000000,,78,100,85,16,19,43,60,14,29,17,68,14,36,18,83,14,42,27,62,9,33,20
Location 86,1,16425,0.73689383229,1,0,0,5432280.39897000000,6504096.07978000000,0.00000000000,14.31013620480,0.00000000000,,0,101,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 87,1,322,0.25753401351,1,0,0,5432443.47682000000,6503922.97812000000,0.00000000000,13.75456313570,0.00000000000,,0,103,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 88,1,9763,0.26048899530,1,0,0,5432568.88817000000,6503891.58673000000,0.00000000000,12.71008554100,0.00000000000,,0,104,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 89,1,4640,0.74393556419,2,0,0,5432695.22317000000,6503860.00149000000,0.00000000000,13.45153644520,0.00000000000,,52,105,89,10,25,17,30,11,15,4,28,9,11,8,26,11,8,7,30,5,22,3
Location 90,1,15312,0.73292761658,2,0,0,5432821.29823000000,6503827.71805000000,0.00000000000,15.10052313840,0.00000000000,,26,106,90,10,10,6,28,7,8,13,45,10,24,11,47,10,27,10,61,5,38,18
Location 91,1,9157,0.73702739518,2,0,0,5432947.49596000000,6503797.10632000000,0.00000000000,13.22621113690,0.00000000000,,73,107,91,27,23,23,44,6,23,15,48,21,17,10,80,17,41,22,42,10,24,8
Location 92,1,3829,0.74987664190,2,0,0,5433065.92270000000,6503768.73819000000,0.00000000000,12.93939017740,0.00000000000,,0,108,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 93,1,9582,0.54255000521,1,0,0,5432629.53015000000,6504010.37879000000,0.00000000000,13.59028092200,0.00000000000,,4,109,93,1,0,3,15,5,3,7,9,1,6,2,3,1,1,1,1,0,0,1
Location 94,1,8443,0.53280234834,1,0,0,5432503.95405000000,6504040.84439000000,0.00000000000,13.44388113350,0.00000000000,,54,110,94,13,15,26,45,13,12,20,65,13,28,24,57,6,33,18,65,8,32,25
Location 95,1,10784,0.54038973761,1,0,0,5432755.99999000000,6503979.86208000000,0.00000000000,12.75935586620,0.00000000000,,34,111,95,6,16,12,7,3,3,1,15,3,6,6,15,2,9,4,41,4,22,15
Location 96,1,368,0.49399521265,1,0,0,5432883.16965000000,6503947.88359000000,0.00000000000,15.14554897820,0.00000000000,,0,112,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 97,1,1271,0.73953571834,1,0,0,5433008.80609000000,6503917.91723000000,0.00000000000,12.40576599570,0.00000000000,,7,113,97,2,0,5,12,3,6,3,14,4,8,2,10,0,5,5,1,1,0,0
Location 98,1,14532,0.81190345546,1,0,0,5433129.92989000000,6503888.73855000000,0.00000000000,13.68355692140,0.00000000000,,0,114,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 99,1,14619,0.24854452578,1,0,0,5433201.46194000000,6503735.74764000000,0.00000000000,18.10965295670,0.00000000000,,117,115,99,40,29,48,110,25,42,43,63,21,28,14,105,21,47,37,166,28,90,48
Location 100,1,9709,0.26141522068,1,0,0,5433290.28571000000,6503713.49922000000,0.00000000000,19.75797639570,0.00000000000,,40,116,100,13,12,15,63,17,23,23,52,10,21,21,23,3,10,10,18,4,7,7
Location 101,1,10736,0.75375902546,1,0,0,5433270.31677000000,6503612.35032000000,0.00000000000,26.43594361230,0.00000000000,,0,117,101,0,0,0,4,0,2,2,9,2,6,1,0,0,0,0,0,0,0,0
Location 102,1,2581,0.80182521014,2,0,0,5433223.63576000000,6503542.77743000000,0.00000000000,14.19736864640,0.00000000000,,134,118,102,36,39,59,109,14,47,48,109,25,46,38,110,15,62,33,152,27,71,54
Location 103,1,3746,0.76202863146,1,0,0,5433242.06666000000,6503512.80877000000,0.00000000000,26.08820035870,0.00000000000,,0,119,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 104,1,7073,0.77806914966,2,0,0,5433171.93496000000,6503341.53699000000,0.00000000000,12.33793787450,0.00000000000,,0,120,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 105,1,9552,0.19764070695,1,0,0,5433228.96683000000,6503327.57914000000,0.00000000000,25.74459978000,0.00000000000,,0,122,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 106,1,4208,0.79435456003,2,0,0,5433133.40828000000,6503136.14878000000,0.00000000000,13.49762714990,0.00000000000,,83,123,106,30,22,31,70,15,29,26,104,26,49,29,143,27,74,42,84,7,52,25
Location 107,1,9833,0.21408005126,1,0,0,5433190.05193000000,6503122.51125000000,0.00000000000,25.88743504260,0.00000000000,,0,124,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 108,1,4739,0.75735029094,1,0,0,5433119.50590000000,6502900.16878000000,0.00000000000,16.96706400730,0.00000000000,,124,125,108,42,36,46,87,24,28,35,54,14,26,14,97,16,53,28,115,14,47,54
Location 109,1,6356,0.81392532882,2,0,0,5433096.32504000000,6502931.05511000000,0.00000000000,14.72908351740,0.00000000000,,7,126,109,0,2,5,10,2,5,3,15,4,8,3,13,6,6,1,3,0,2,1
Location 110,1,8592,0.80990842757,1,0,0,5433092.95232000000,6501131.66067000000,0.00000000000,14.75334002810,0.00000000000,,56,127,110,14,17,25,55,12,27,16,46,13,18,15,79,10,39,30,56,10,29,17
Location 111,1,11396,0.35737376787,1,0,0,5433112.83018000000,6501321.04644000000,0.00000000000,14.55613745090,0.00000000000,,0,128,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 112,1,6003,0.77670424206,2,0,0,5433064.66812000000,6501332.54028000000,0.00000000000,13.26173656150,0.00000000000,,0,130,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 113,1,6326,0.16291936275,1,0,0,5433102.45020000000,6501537.24415000000,0.00000000000,12.76405977530,0.00000000000,,61,132,113,13,21,27,69,20,24,25,83,27,26,30,60,14,28,18,112,27,57,28
Location 114,1,10405,0.76454621546,2,0,0,5433054.09890000000,6501548.81857000000,0.00000000000,13.00774235860,0.00000000000,,0,133,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 115,1,10589,0.17114718158,1,0,0,5433050.09584000000,6501657.75306000000,0.00000000000,14.21603355250,0.00000000000,,6,135,115,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 116,1,2712,0.86700634296,2,0,0,5433098.99329000000,6501645.80343000000,0.00000000000,14.36241899850,0.00000000000,,0,136,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 117,1,14939,0.32473100888,1,0,0,5433044.06857000000,6501871.89518000000,0.00000000000,14.76966054630,0.00000000000,,47,138,117,18,11,18,27,10,9,8,30,8,12,10,46,7,21,18,53,13,23,17
Location 118,1,5533,0.68886087914,1,0,0,5433072.93065000000,6501940.92925000000,0.00000000000,24.81649699510,0.00000000000,,0,139,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 119,1,9052,0.31323473642,1,0,0,5433039.07185000000,6502087.90608000000,0.00000000000,14.15398546800,0.00000000000,,67,140,119,17,12,38,84,22,25,37,67,19,30,18,49,9,18,22,105,14,55,36
Location 120,1,10721,0.62297896348,2,0,0,5433101.77663000000,6502285.44484000000,0.00000000000,24.62729048730,0.00000000000,,113,141,120,35,33,45,35,9,11,15,54,14,21,19,77,10,38,29,72,20,37,15
Location 121,1,2317,0.44119544597,1,0,0,5433103.08178000000,6502501.79937000000,0.00000000000,26.82187360710,0.00000000000,,0,142,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 122,1,5729,0.48292122790,1,0,0,5433040.03802000000,6502515.30411000000,0.00000000000,16.28900930900,0.00000000000,,98,143,122,28,22,48,49,11,16,22,52,12,21,19,63,9,30,24,95,19,44,32
